id,containertitle,publicationdate,citation
049052100107045106113057115047055049049056049046048049:pitt.uls,Characterization of <strong>microplastics</strong> in sediments and surface waters of a headwater catchment,2021-01-01,10.18117/s9qj-kd41
048056054053052056046101114097104115103105102046057109047052056048054046048049:figshare.ars,"Submesoscale variation in <strong>microplastic</strong>, zooplankton, and plastic to plankton ratio",2013-01-01,10.6084/m9.figshare.845680
